"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2020";"0000";"25,9";"26,4";"25,9";"79,0";"79,0";"73,0";"22,1";"22,1";"21,1";"1006,3";"1006,3";"1005,9";"1,4";"52,0";"5,0";"";"0,0"
"01/01/2020";"0100";"26,0";"26,1";"25,9";"81,0";"81,0";"79,0";"22,4";"22,4";"22,1";"1007,0";"1007,0";"1006,3";"1,7";"54,0";"4,8";"";"0,0"
"01/01/2020";"0200";"26,0";"26,1";"25,9";"82,0";"82,0";"80,0";"22,7";"22,8";"22,4";"1006,9";"1007,2";"1006,9";"1,3";"38,0";"4,8";"";"0,0"
"01/01/2020";"0300";"25,7";"26,0";"25,7";"85,0";"85,0";"82,0";"22,9";"22,9";"22,7";"1006,3";"1006,9";"1006,3";"1,0";"40,0";"4,0";"";"0,0"
"01/01/2020";"0400";"25,7";"25,8";"25,6";"86,0";"86,0";"85,0";"23,1";"23,2";"22,9";"1005,2";"1006,3";"1005,2";"1,4";"34,0";"3,7";"";"0,0"
"01/01/2020";"0500";"25,4";"25,8";"25,4";"81,0";"86,0";"81,0";"22,0";"23,1";"22,0";"1004,4";"1005,2";"1004,4";"1,2";"41,0";"5,9";"";"0,0"
"01/01/2020";"0600";"25,3";"25,4";"25,0";"80,0";"82,0";"80,0";"21,5";"22,0";"21,4";"1004,7";"1004,8";"1004,2";"1,6";"39,0";"5,4";"";"0,0"
"01/01/2020";"0700";"24,9";"25,4";"24,8";"84,0";"84,0";"80,0";"22,1";"22,1";"21,5";"1004,9";"1004,9";"1004,6";"1,0";"41,0";"5,6";"";"0,0"
"01/01/2020";"0800";"24,7";"25,0";"24,7";"84,0";"85,0";"84,0";"21,9";"22,1";"21,9";"1005,3";"1005,3";"1004,9";"1,1";"35,0";"4,8";"";"0,0"
"01/01/2020";"0900";"24,7";"24,8";"24,5";"86,0";"86,0";"84,0";"22,2";"22,3";"21,9";"1006,1";"1006,1";"1005,3";"1,1";"29,0";"3,4";"59,30";"0,0"
"01/01/2020";"1000";"25,3";"25,3";"24,8";"82,0";"86,0";"82,0";"22,0";"22,5";"22,0";"1006,3";"1006,3";"1006,0";"1,4";"27,0";"3,5";"347,10";"0,0"
"01/01/2020";"1100";"25,9";"25,9";"25,2";"84,0";"84,0";"81,0";"22,9";"22,9";"21,9";"1006,8";"1006,8";"1006,3";"1,1";"21,0";"4,7";"583,50";"0,0"
"01/01/2020";"1200";"27,4";"27,4";"25,9";"76,0";"84,0";"76,0";"22,8";"23,2";"22,5";"1007,0";"1007,0";"1006,8";"1,7";"28,0";"4,7";"1613,00";"0,0"
"01/01/2020";"1300";"29,8";"29,8";"27,4";"69,0";"77,0";"69,0";"23,6";"23,9";"22,5";"1006,7";"1007,0";"1006,7";"1,1";"20,0";"6,0";"2476,60";"0,0"
"01/01/2020";"1400";"30,3";"31,5";"29,3";"61,0";"69,0";"60,0";"21,8";"23,9";"21,8";"1006,2";"1006,7";"1006,2";"1,1";"49,0";"3,8";"3052,30";"0,0"
"01/01/2020";"1500";"29,4";"31,0";"28,1";"69,0";"75,0";"61,0";"23,2";"24,9";"21,9";"1005,3";"1006,2";"1005,3";"1,3";"190,0";"4,7";"2596,10";"0,0"
"01/01/2020";"1600";"28,7";"29,4";"27,9";"75,0";"78,0";"69,0";"23,9";"24,1";"22,5";"1004,4";"1005,4";"1004,4";"0,9";"118,0";"4,4";"1158,00";"0,0"
"01/01/2020";"1700";"29,3";"31,1";"28,7";"71,0";"76,0";"65,0";"23,5";"24,5";"23,2";"1003,7";"1004,4";"1003,7";"1,6";"90,0";"5,5";"2711,50";"0,0"
"01/01/2020";"1800";"28,9";"30,2";"28,6";"71,0";"75,0";"70,0";"23,0";"24,4";"23,0";"1003,7";"1003,8";"1003,4";"2,0";"76,0";"6,2";"2536,40";"0,0"
"01/01/2020";"1900";"24,7";"28,9";"22,9";"92,0";"92,0";"70,0";"23,3";"23,3";"20,4";"1003,3";"1004,5";"1002,9";"2,1";"68,0";"9,5";"491,10";"10,2"
"01/01/2020";"2000";"25,3";"25,3";"24,1";"91,0";"92,0";"90,0";"23,7";"23,7";"22,5";"1003,4";"1003,5";"1003,1";"2,7";"62,0";"7,8";"435,50";"0,0"
"01/01/2020";"2100";"25,3";"25,6";"25,3";"86,0";"91,0";"86,0";"22,9";"23,7";"22,7";"1003,9";"1003,9";"1003,1";"2,2";"49,0";"8,7";"199,50";"0,0"
"01/01/2020";"2200";"25,2";"25,4";"25,2";"87,0";"87,0";"86,0";"22,9";"23,0";"22,7";"1004,6";"1004,9";"1003,9";"2,4";"49,0";"6,9";"2,60";"0,0"
"01/01/2020";"2300";"24,9";"25,3";"24,9";"87,0";"88,0";"86,0";"22,7";"22,9";"22,6";"1005,3";"1005,3";"1004,4";"1,9";"45,0";"6,3";"";"0,2"
"02/01/2020";"0000";"24,6";"24,9";"24,4";"87,0";"88,0";"87,0";"22,3";"22,8";"22,1";"1005,4";"1005,6";"1005,0";"1,7";"42,0";"6,7";"";"0,0"
"02/01/2020";"0100";"24,5";"24,6";"24,4";"87,0";"87,0";"86,0";"22,2";"22,4";"22,0";"1006,2";"1006,3";"1005,4";"2,2";"36,0";"8,0";"";"0,0"
"02/01/2020";"0200";"24,2";"24,5";"24,2";"86,0";"88,0";"86,0";"21,7";"22,2";"21,7";"1006,3";"1006,5";"1006,2";"1,5";"34,0";"5,5";"";"0,0"
"02/01/2020";"0300";"24,3";"24,3";"24,2";"86,0";"86,0";"86,0";"21,8";"21,8";"21,6";"1005,3";"1006,3";"1005,3";"1,6";"32,0";"5,0";"";"0,0"
"02/01/2020";"0400";"23,8";"24,3";"23,8";"87,0";"87,0";"86,0";"21,6";"21,8";"21,6";"1004,5";"1005,3";"1004,5";"0,7";"42,0";"4,9";"";"0,0"
"02/01/2020";"0500";"23,6";"23,9";"23,4";"89,0";"89,0";"87,0";"21,7";"21,8";"21,5";"1004,4";"1004,5";"1004,3";"0,3";"80,0";"2,3";"";"0,0"
"02/01/2020";"0600";"23,4";"23,6";"23,3";"89,0";"90,0";"89,0";"21,6";"21,9";"21,5";"1004,4";"1004,5";"1004,2";"0,6";"39,0";"2,1";"";"0,0"
"02/01/2020";"0700";"23,3";"23,6";"23,3";"86,0";"90,0";"86,0";"20,8";"21,7";"20,8";"1004,6";"1004,6";"1004,4";"0,5";"76,0";"2,2";"";"0,0"
"02/01/2020";"0800";"23,1";"23,3";"23,1";"88,0";"88,0";"86,0";"20,9";"21,0";"20,7";"1005,3";"1005,3";"1004,6";"0,5";"27,0";"1,4";"";"0,0"
"02/01/2020";"0900";"24,3";"24,3";"23,1";"89,0";"89,0";"88,0";"22,3";"22,3";"21,0";"1006,3";"1006,3";"1005,3";"0,3";"287,0";"1,9";"113,40";"0,0"
"02/01/2020";"1000";"26,1";"26,1";"24,3";"82,0";"89,0";"81,0";"22,7";"22,9";"22,3";"1006,8";"1006,8";"1006,3";"0,8";"2,0";"3,0";"425,30";"0,0"
"02/01/2020";"1100";"26,7";"27,1";"25,8";"78,0";"82,0";"76,0";"22,5";"23,2";"22,3";"1007,0";"1007,0";"1006,8";"2,0";"30,0";"5,5";"1308,50";"0,0"
"02/01/2020";"1200";"28,2";"28,2";"26,7";"77,0";"79,0";"76,0";"23,7";"23,7";"22,5";"1007,1";"1007,2";"1007,0";"1,2";"18,0";"5,5";"1520,30";"0,0"
"02/01/2020";"1300";"29,3";"29,3";"28,0";"73,0";"77,0";"72,0";"23,9";"24,2";"22,8";"1006,9";"1007,1";"1006,9";"0,7";"314,0";"4,5";"1876,60";"0,0"
"02/01/2020";"1400";"27,8";"29,4";"27,6";"77,0";"79,0";"70,0";"23,3";"24,2";"22,9";"1006,9";"1006,9";"1006,8";"0,7";"179,0";"3,4";"1057,40";"0,0"
"02/01/2020";"1500";"29,2";"29,7";"26,7";"77,0";"82,0";"75,0";"24,7";"25,5";"22,9";"1006,4";"1006,9";"1006,4";"1,2";"102,0";"3,7";"1538,60";"0,0"
"02/01/2020";"1600";"26,3";"29,3";"24,7";"90,0";"90,0";"75,0";"24,5";"24,5";"21,9";"1005,7";"1006,4";"1005,7";"1,7";"62,0";"6,4";"1366,70";"1,4"
"02/01/2020";"1700";"27,8";"28,8";"26,2";"79,0";"90,0";"77,0";"23,7";"25,3";"23,7";"1005,0";"1005,7";"1005,0";"1,5";"62,0";"5,6";"2765,80";"0,0"
"02/01/2020";"1800";"28,2";"28,8";"27,6";"73,0";"80,0";"73,0";"22,9";"24,9";"22,5";"1004,3";"1005,0";"1004,1";"2,6";"42,0";"6,6";"1900,80";"0,0"
