,userId,max_wp_ap@3,max_wp_ap@5,max_wp_ap@10,max_wp_rr@3,max_wp_rr@5,max_wp_rr@10,cos_ns_ap@3,cos_ns_ap@5,cos_ns_ap@10,cos_ns_rr@3,cos_ns_rr@5,cos_ns_rr@10,cos_ls_ap@3,cos_ls_ap@5,cos_ls_ap@10,cos_ls_rr@3,cos_ls_rr@5,cos_ls_rr@10,cos_sk_ap@3,cos_sk_ap@5,cos_sk_ap@10,cos_sk_rr@3,cos_sk_rr@5,cos_sk_rr@10
0,1,0,0,0.0143,0,0,0.1429,0,0,0.0167,0,0,0.1667,0,0.05,0.0472,0,0.25,0.25,0,0,0.0125,0,0,0.125
0,2,0.3333,0.3,0.2571,1.0,1.0,1.0,0.3333,0.3,0.1875,1.0,1.0,1.0,0,0.04,0.0867,0,0.2,0.2,0.3333,0.3,0.15,1.0,1.0,1.0
0,3,0.3333,0.3,0.2319,1.0,1.0,1.0,0.6667,0.71,0.505,1.0,1.0,1.0,1.0,0.8,0.6242,1.0,1.0,1.0,0.6667,0.52,0.5509,1.0,1.0,1.0
0,4,0.1111,0.1467,0.0733,0.3333,0.3333,0.3333,0.1111,0.0667,0.0333,0.3333,0.3333,0.3333,0.1111,0.0667,0.0556,0.3333,0.3333,0.3333,0,0.05,0.025,0,0.25,0.25
0,5,0.1667,0.18,0.1729,0.5,0.5,0.5,0.1667,0.1,0.1083,0.5,0.5,0.5,0.1667,0.1,0.1083,0.5,0.5,0.5,0,0.05,0.025,0,0.25,0.25
0,6,0.3333,0.2,0.1,1.0,1.0,1.0,0,0,0.0143,0,0,0.1429,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
0,7,0.1111,0.1667,0.0833,0.3333,0.3333,0.3333,0.1667,0.1,0.05,0.5,0.5,0.5,0.1667,0.1,0.05,0.5,0.5,0.5,0.1667,0.1,0.05,0.5,0.5,0.5
0,8,0.6667,0.4,0.2429,1.0,1.0,1.0,0,0,0.0,0,0,0.0,0,0.0,0.0111,0,0.0,0.1111,0,0,0.0,0,0,0.0
0,9,0,0.05,0.025,0,0.25,0.25,0.1667,0.2,0.1,0.5,0.5,0.5,0,0.04,0.0422,0,0.2,0.2,0.1667,0.2,0.1375,0.5,0.5,0.5
0,10,0.1111,0.2867,0.1433,0.3333,0.3333,0.3333,0.3333,0.3,0.3863,1.0,1.0,1.0,0.3889,0.2333,0.19,0.5,0.5,0.5,0.6667,0.52,0.31,1.0,1.0,1.0
0,11,1.0,0.8,0.6361,1.0,1.0,1.0,0.3333,0.42,0.2767,1.0,1.0,1.0,0.6667,0.52,0.3981,1.0,1.0,1.0,0.3333,0.42,0.2671,1.0,1.0,1.0
0,12,0.6667,0.4,0.2944,1.0,1.0,1.0,0.5556,0.6433,0.4598,1.0,1.0,1.0,0.5556,0.4533,0.413,1.0,1.0,1.0,0.5556,0.6433,0.4598,1.0,1.0,1.0
0,13,0.5556,0.3333,0.2567,1.0,1.0,1.0,0.6667,0.52,0.3671,1.0,1.0,1.0,0.5556,0.4533,0.3463,1.0,1.0,1.0,0.3333,0.3,0.2373,1.0,1.0,1.0
0,14,0.5556,0.3333,0.2595,1.0,1.0,1.0,0,0.05,0.0583,0,0.25,0.25,0,0.0,0.01,0,0.0,0.1,0.1667,0.1,0.07,0.5,0.5,0.5
0,15,0.3333,0.2,0.1,1.0,1.0,1.0,0.1667,0.1,0.075,0.5,0.5,0.5,0.3333,0.2,0.1,1.0,1.0,1.0,0.1667,0.1,0.05,0.5,0.5,0.5
0,16,0,0,0.0,0,0,0.0,0,0.04,0.02,0,0.2,0.2,0,0.05,0.025,0,0.25,0.25,0,0,0.01,0,0,0.1
0,17,1.0,0.76,0.38,1.0,1.0,1.0,0,0.04,0.02,0,0.2,0.2,0,0.0,0.0417,0,0.0,0.1667,0,0.04,0.02,0,0.2,0.2
0,19,0.3333,0.2,0.1286,1.0,1.0,1.0,0,0.04,0.02,0,0.2,0.2,0.1667,0.1,0.05,0.5,0.5,0.5,0,0.05,0.025,0,0.25,0.25
0,20,0.1667,0.18,0.09,0.5,0.5,0.5,0.1111,0.0667,0.0619,0.3333,0.3333,0.3333,0,0.05,0.0583,0,0.25,0.25,0,0,0.0389,0,0,0.1667
0,21,0.3333,0.2,0.2019,1.0,1.0,1.0,0.3333,0.28,0.14,1.0,1.0,1.0,0.1667,0.1,0.05,0.5,0.5,0.5,0.3333,0.28,0.17,1.0,1.0,1.0
0,22,0,0.05,0.045,0,0.25,0.25,0.3889,0.2333,0.1167,0.5,0.5,0.5,0.5556,0.3333,0.1667,1.0,1.0,1.0,0.1111,0.1667,0.0833,0.3333,0.3333,0.3333
0,23,0.1667,0.1,0.07,0.5,0.5,0.5,0.3333,0.2,0.1,1.0,1.0,1.0,0.1667,0.1,0.075,0.5,0.5,0.5,0.3333,0.2,0.125,1.0,1.0,1.0
0,24,0.6667,0.55,0.4477,1.0,1.0,1.0,0.1667,0.1,0.05,0.5,0.5,0.5,0.1111,0.0667,0.0619,0.3333,0.3333,0.3333,0,0.04,0.02,0,0.2,0.2
0,25,0.5556,0.4833,0.3798,1.0,1.0,1.0,0,0,0.0417,0,0,0.1667,0,0.0,0.01,0,0.0,0.1,0,0.05,0.05,0,0.25,0.25
0,27,0.5556,0.3333,0.2095,1.0,1.0,1.0,0.1667,0.1,0.0722,0.5,0.5,0.5,0.1667,0.2,0.1375,0.5,0.5,0.5,0.1667,0.1,0.0786,0.5,0.5,0.5
0,28,0.3333,0.2,0.1522,1.0,1.0,1.0,0,0,0.0,0,0,0.0,0.1111,0.1667,0.1333,0.3333,0.3333,0.3333,0,0,0.01,0,0,0.1
0,30,0.6667,0.52,0.26,1.0,1.0,1.0,0,0.05,0.025,0,0.25,0.25,0.3333,0.2,0.1,1.0,1.0,1.0,0,0,0.0167,0,0,0.1667
0,31,1.0,0.6,0.4196,1.0,1.0,1.0,0.3889,0.2333,0.15,0.5,0.5,0.5,0.3333,0.28,0.17,1.0,1.0,1.0,0.5556,0.3333,0.1667,1.0,1.0,1.0
0,32,0,0.04,0.0422,0,0.2,0.2,0,0.05,0.0536,0,0.25,0.25,0,0.04,0.0786,0,0.2,0.2,0,0.05,0.045,0,0.25,0.25
0,33,0.5556,0.3333,0.1667,1.0,1.0,1.0,0.6667,0.4,0.2375,1.0,1.0,1.0,0.5556,0.3333,0.2495,1.0,1.0,1.0,0.6667,0.4,0.2,1.0,1.0,1.0
0,35,0.3333,0.2,0.1583,1.0,1.0,1.0,0.6667,0.4,0.2,1.0,1.0,1.0,0.5556,0.3333,0.1667,1.0,1.0,1.0,0.6667,0.4,0.2,1.0,1.0,1.0
0,37,0.5556,0.4833,0.2417,1.0,1.0,1.0,0.1111,0.1667,0.1208,0.3333,0.3333,0.3333,0,0.04,0.1406,0,0.2,0.2,0,0,0.0647,0,0,0.125
0,38,0,0,0.0143,0,0,0.1429,0,0.05,0.0472,0,0.25,0.25,0,0.0,0.0,0,0.0,0.0,0,0.04,0.02,0,0.2,0.2
0,39,0.1111,0.1467,0.1467,0.3333,0.3333,0.3333,0,0,0.0365,0,0,0.1429,0,0.04,0.02,0,0.2,0.2,0.3333,0.2,0.1,1.0,1.0,1.0
0,40,0,0,0.0143,0,0,0.1429,0,0,0.01,0,0,0.1,0,0.0,0.01,0,0.0,0.1,0,0,0.0,0,0,0.0
0,41,0.1111,0.1467,0.1108,0.3333,0.3333,0.3333,0,0,0.0,0,0,0.0,0,0.0,0.0125,0,0.0,0.125,0,0,0.0,0,0,0.0
0,42,0.3333,0.3,0.15,1.0,1.0,1.0,0,0,0.0,0,0,0.0,0,0.0,0.0347,0,0.0,0.125,0,0,0.0125,0,0,0.125
0,44,0,0,0.0452,0,0,0.1667,0,0.04,0.0722,0,0.2,0.2,0,0.05,0.0958,0,0.25,0.25,0,0,0.0167,0,0,0.1667
0,45,0,0.04,0.02,0,0.2,0.2,0,0.05,0.025,0,0.25,0.25,0,0.04,0.0533,0,0.2,0.2,0,0.04,0.02,0,0.2,0.2
0,46,0.1667,0.2,0.1,0.5,0.5,0.5,0.1111,0.0667,0.0333,0.3333,0.3333,0.3333,0,0.0,0.0125,0,0.0,0.125,0.1111,0.0667,0.0333,0.3333,0.3333,0.3333
0,47,0.1667,0.1,0.0786,0.5,0.5,0.5,0.1111,0.0667,0.0333,0.3333,0.3333,0.3333,0.1111,0.0667,0.0333,0.3333,0.3333,0.3333,0.3333,0.2,0.1286,1.0,1.0,1.0
0,48,0.5556,0.3333,0.1667,1.0,1.0,1.0,0.3333,0.3,0.3127,1.0,1.0,1.0,0.3333,0.2,0.1286,1.0,1.0,1.0,0.6667,0.55,0.3194,1.0,1.0,1.0
0,49,0.6667,0.4,0.2,1.0,1.0,1.0,0,0,0.01,0,0,0.1,0,0.0,0.0125,0,0.0,0.125,0,0,0.0,0,0,0.0
0,50,0.3333,0.2,0.1286,1.0,1.0,1.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
0,51,0,0.04,0.02,0,0.2,0.2,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.04,0.02,0,0.2,0.2
0,52,0.3333,0.28,0.1733,1.0,1.0,1.0,0.3333,0.3,0.2,1.0,1.0,1.0,0.1111,0.2867,0.1433,0.3333,0.3333,0.3333,0.5556,0.3333,0.2167,1.0,1.0,1.0
0,53,0.3333,0.28,0.1733,1.0,1.0,1.0,0.5556,0.3333,0.1667,1.0,1.0,1.0,0.3333,0.2,0.1222,1.0,1.0,1.0,0.3333,0.2,0.1222,1.0,1.0,1.0
0,55,0.6667,0.55,0.275,1.0,1.0,1.0,0.6667,0.52,0.4422,1.0,1.0,1.0,0.6667,0.52,0.3892,1.0,1.0,1.0,0.6667,0.52,0.3822,1.0,1.0,1.0
0,56,0.5556,0.4533,0.3211,1.0,1.0,1.0,0.3889,0.2333,0.1467,0.5,0.5,0.5,0.1111,0.1667,0.1208,0.3333,0.3333,0.3333,0,0,0.0347,0,0,0.125
0,57,0,0,0.0125,0,0,0.125,0,0,0.0125,0,0,0.125,0,0.0,0.0143,0,0.0,0.1429,0,0,0.0125,0,0,0.125
0,58,0,0.04,0.04,0,0.2,0.2,0,0,0.01,0,0,0.1,0,0.0,0.0367,0,0.0,0.1667,0,0,0.0,0,0,0.0
0,59,0,0.05,0.025,0,0.25,0.25,0.3333,0.2,0.1522,1.0,1.0,1.0,0,0.04,0.02,0,0.2,0.2,0.1667,0.1,0.07,0.5,0.5,0.5
