,userId,max_wp_p3,max_wp_p5,max_wp_p10,max_wp_mrr3,max_wp_mrr5,max_wp_mrr10,cos_ns_p3,cos_ns_p5,cos_ns_p10,cos_ns_mrr3,cos_ns_mrr5,cos_ns_mrr10,cos_ls_p3,cos_ls_p5,cos_ls_p10,cos_ls_mrr3,cos_ls_mrr5,cos_ls_mrr10,cos_sk_p3,cos_sk_p5,cos_sk_p10,cos_sk_mrr3,cos_sk_mrr5,cos_sk_mrr10
0,1,0.0,0.0,0.1,0.0,0.0,0.0479,0.0,0.0,0.1,0.0,0.0,0.0646,0.0,0.2,0.2,0.0,0.09,0.1307,0.0,0.0,0.1,0.0,0.0,0.0336
0,2,0.3333,0.4,0.4,0.6111,0.5467,0.5149,0.3333,0.4,0.3,0.6111,0.5467,0.4361,0.0,0.2,0.3,0.0,0.04,0.1702,0.3333,0.4,0.2,0.6111,0.5467,0.4024
0,3,0.3333,0.4,0.4,0.6111,0.5467,0.4572,0.6667,0.8,0.6,0.8889,0.8433,0.7656,1.0,0.8,0.7,1.0,0.96,0.8409,0.6667,0.6,0.7,0.8889,0.7533,0.7375
0,4,0.3333,0.4,0.2,0.1111,0.1967,0.2275,0.3333,0.2,0.1,0.1111,0.1567,0.1429,0.3333,0.2,0.2,0.1111,0.1567,0.164,0.0,0.2,0.1,0.0,0.09,0.1096
0,5,0.3333,0.4,0.4,0.2778,0.2967,0.3353,0.3333,0.2,0.3,0.2778,0.2567,0.2476,0.3333,0.2,0.3,0.2778,0.2567,0.2476,0.0,0.2,0.1,0.0,0.09,0.1096
0,6,0.3333,0.2,0.1,0.6111,0.4567,0.2929,0.0,0.0,0.1,0.0,0.0,0.0479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,7,0.3333,0.4,0.2,0.1111,0.2467,0.2524,0.3333,0.2,0.1,0.2778,0.2567,0.1929,0.3333,0.2,0.1,0.2778,0.2567,0.1929,0.3333,0.2,0.1,0.2778,0.2567,0.1929
0,8,0.6667,0.4,0.3,0.8889,0.7133,0.5337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0211,0.0,0.0,0.0,0.0,0.0,0.0
0,9,0.0,0.2,0.1,0.0,0.09,0.1096,0.3333,0.4,0.2,0.2778,0.3467,0.3024,0.0,0.2,0.2,0.0,0.04,0.1057,0.3333,0.4,0.3,0.2778,0.3467,0.3361
0,10,0.3333,0.6,0.3,0.1111,0.2867,0.337,0.3333,0.4,0.6,0.6111,0.5467,0.5696,0.6667,0.4,0.4,0.3889,0.4133,0.3669,0.6667,0.6,0.4,0.8889,0.7533,0.604
0,11,1.0,0.8,0.7,1.0,0.96,0.8575,0.3333,0.6,0.4,0.6111,0.5867,0.5516,0.6667,0.6,0.5,0.8889,0.7533,0.6828,0.3333,0.6,0.4,0.6111,0.5867,0.5349
0,12,0.6667,0.4,0.4,0.8889,0.7133,0.5715,0.6667,0.8,0.6,0.7222,0.7433,0.6989,0.6667,0.6,0.6,0.7222,0.6533,0.623,0.6667,0.8,0.6,0.7222,0.7433,0.6989
